sample_index,video_frame_index,time_s_from_video_start,time_s_from_trim_start
308,525,2.019231,1.184615
309,526,2.023077,1.188462
310,527,2.026923,1.192308
311,528,2.030769,1.196154
312,529,2.034615,1.200000
313,530,2.038462,1.203846
314,531,2.042308,1.207692
315,532,2.046154,1.211538
316,533,2.050000,1.215385
317,534,2.053846,1.219231
318,535,2.057692,1.223077
319,536,2.061538,1.226923
320,537,2.065385,1.230769
321,538,2.069231,1.234615
322,539,2.073077,1.238462
323,540,2.076923,1.242308
324,541,2.080769,1.246154
325,542,2.084615,1.250000
326,543,2.088462,1.253846
327,544,2.092308,1.257692
328,545,2.096154,1.261538
329,546,2.100000,1.265385
330,547,2.103846,1.269231
331,548,2.107692,1.273077
332,549,2.111538,1.276923
333,550,2.115385,1.280769
334,551,2.119231,1.284615
335,552,2.123077,1.288462
336,553,2.126923,1.292308
337,554,2.130769,1.296154
338,555,2.134615,1.300000
339,556,2.138462,1.303846
340,557,2.142308,1.307692
341,558,2.146154,1.311538
342,559,2.150000,1.315385
343,560,2.153846,1.319231
344,561,2.157692,1.323077
345,562,2.161538,1.326923
346,563,2.165385,1.330769
347,564,2.169231,1.334615
348,565,2.173077,1.338462
349,566,2.176923,1.342308
350,567,2.180769,1.346154
351,568,2.184615,1.350000
352,569,2.188462,1.353846
353,570,2.192308,1.357692
354,571,2.196154,1.361538
355,572,2.200000,1.365385
356,573,2.203846,1.369231
357,574,2.207692,1.373077
358,575,2.211538,1.376923
359,576,2.215385,1.380769
360,577,2.219231,1.384615
361,578,2.223077,1.388462
362,579,2.226923,1.392308
363,580,2.230769,1.396154
364,581,2.234615,1.400000
365,582,2.238462,1.403846
366,583,2.242308,1.407692
367,584,2.246154,1.411538
368,585,2.250000,1.415385
369,586,2.253846,1.419231
370,587,2.257692,1.423077
371,588,2.261538,1.426923
372,589,2.265385,1.430769
373,590,2.269231,1.434615
374,591,2.273077,1.438462
375,592,2.276923,1.442308
376,593,2.280769,1.446154
377,594,2.284615,1.450000
378,595,2.288462,1.453846
379,596,2.292308,1.457692
380,597,2.296154,1.461538
381,598,2.300000,1.465385
382,599,2.303846,1.469231
383,600,2.307692,1.473077
384,601,2.311538,1.476923
385,602,2.315385,1.480769
386,603,2.319231,1.484615
387,604,2.323077,1.488462
388,605,2.326923,1.492308
389,606,2.330769,1.496154
390,607,2.334615,1.500000
391,608,2.338462,1.503846
392,609,2.342308,1.507692
393,610,2.346154,1.511538
394,611,2.350000,1.515385
395,612,2.353846,1.519231
396,613,2.357692,1.523077
397,614,2.361538,1.526923
398,615,2.365385,1.530769
399,616,2.369231,1.534615
400,617,2.373077,1.538462
401,618,2.376923,1.542308
402,619,2.380769,1.546154
403,620,2.384615,1.550000
404,621,2.388462,1.553846
405,622,2.392308,1.557692
406,623,2.396154,1.561538
407,624,2.400000,1.565385
408,625,2.403846,1.569231
409,626,2.407692,1.573077
410,627,2.411538,1.576923
411,628,2.415385,1.580769
412,629,2.419231,1.584615
413,630,2.423077,1.588462
414,631,2.426923,1.592308
415,632,2.430769,1.596154
416,633,2.434615,1.600000
417,634,2.438462,1.603846
418,635,2.442308,1.607692
419,636,2.446154,1.611538
420,637,2.450000,1.615385
421,638,2.453846,1.619231
422,639,2.457692,1.623077
423,640,2.461538,1.626923
424,641,2.465385,1.630769
425,642,2.469231,1.634615
426,643,2.473077,1.638462
427,644,2.476923,1.642308
428,645,2.480769,1.646154
429,646,2.484615,1.650000
430,647,2.488462,1.653846
431,648,2.492308,1.657692
432,649,2.496154,1.661538
433,650,2.500000,1.665385
434,651,2.503846,1.669231
435,652,2.507692,1.673077
436,653,2.511538,1.676923
437,654,2.515385,1.680769
438,655,2.519231,1.684615
439,656,2.523077,1.688462
440,657,2.526923,1.692308
441,658,2.530769,1.696154
442,659,2.534615,1.700000
443,660,2.538462,1.703846
444,661,2.542308,1.707692
445,662,2.546154,1.711538
446,663,2.550000,1.715385
447,664,2.553846,1.719231
448,665,2.557692,1.723077
449,666,2.561538,1.726923
450,667,2.565385,1.730769
451,668,2.569231,1.734615
452,669,2.573077,1.738462
453,670,2.576923,1.742308
454,671,2.580769,1.746154
455,672,2.584615,1.750000
456,673,2.588462,1.753846
457,674,2.592308,1.757692
458,675,2.596154,1.761538
459,676,2.600000,1.765385
460,677,2.603846,1.769231
461,678,2.607692,1.773077
462,679,2.611538,1.776923
463,680,2.615385,1.780769
464,681,2.619231,1.784615
465,682,2.623077,1.788462
466,683,2.626923,1.792308
467,684,2.630769,1.796154
468,685,2.634615,1.800000
469,686,2.638462,1.803846
470,687,2.642308,1.807692
471,688,2.646154,1.811538
472,689,2.650000,1.815385
473,690,2.653846,1.819231
474,691,2.657692,1.823077
475,692,2.661538,1.826923
